City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Right Now,Country,Date
151,Muros,42.7762,-9.0603,51.1,75,6,14.52,clear sky,ES,2022-01-31 23:45:52
152,Mar Del Plata,-38.0023,-57.5575,65.08,57,0,3.0,clear sky,AR,2022-01-31 23:42:26
153,Meulaboh,4.1363,96.1285,75.97,88,42,2.64,scattered clouds,ID,2022-01-31 23:45:52
154,Takoradi,4.8845,-1.7554,78.22,85,71,4.7,broken clouds,GH,2022-01-31 23:45:53
155,Bathsheba,13.2167,-59.5167,79.41,78,40,11.5,scattered clouds,BB,2022-01-31 23:45:53
156,Hongjiang,27.11,109.9956,37.09,100,100,3.18,light rain,CN,2022-01-31 23:45:53
157,Estacion Coahuila,32.1939,-115.0017,75.96,11,100,6.24,overcast clouds,MX,2022-01-31 23:45:54
158,Port Elizabeth,-33.918,25.5701,73.69,94,100,9.22,mist,ZA,2022-01-31 23:45:54
159,Tancitaro,19.3333,-102.3667,66.87,31,3,3.42,clear sky,MX,2022-01-31 23:45:55
160,Khanino,54.211,36.6229,28.51,98,98,7.76,overcast clouds,RU,2022-01-31 23:45:55
161,Nemuro,43.3236,145.575,25.23,66,37,21.03,scattered clouds,JP,2022-01-31 23:45:56
162,Muroto,33.2833,134.15,35.64,53,57,12.48,broken clouds,JP,2022-01-31 23:45:56
163,Vardo,70.3705,31.1107,14.2,80,56,8.79,broken clouds,NO,2022-01-31 23:45:56
164,Namatanai,-3.6667,152.4333,82.0,76,95,4.16,moderate rain,PG,2022-01-31 23:45:57
165,Komsomolskiy,40.4272,71.7189,29.62,80,95,4.61,mist,UZ,2022-01-31 23:45:57
166,Bengkulu,-3.8004,102.2655,75.85,86,100,3.87,overcast clouds,ID,2022-01-31 23:45:58
167,Cabedelo,-6.9811,-34.8339,79.47,75,21,10.45,few clouds,BR,2022-01-31 23:45:58
168,Peruibe,-24.32,-46.9983,74.08,93,99,5.75,overcast clouds,BR,2022-01-31 23:45:58
169,Jiaojiang,28.6803,121.4428,45.0,78,100,6.78,light rain,CN,2022-01-31 23:45:59
170,Yamada,39.4667,141.95,29.12,47,3,2.33,clear sky,JP,2022-01-31 23:45:59
171,Tuatapere,-46.1333,167.6833,75.81,48,75,0.58,broken clouds,NZ,2022-01-31 23:46:00
172,Cabo San Lucas,22.8909,-109.9124,76.6,57,1,5.01,clear sky,MX,2022-01-31 23:43:56
173,Juneau,58.3019,-134.4197,27.21,77,20,6.91,few clouds,US,2022-01-31 23:43:45
174,Odawara,35.2556,139.1597,46.9,63,64,2.46,broken clouds,JP,2022-01-31 23:46:00
175,Longyearbyen,78.2186,15.6401,12.04,67,20,9.22,few clouds,SJ,2022-01-31 23:43:26
176,Luwuk,-0.9516,122.7875,82.49,67,96,2.01,overcast clouds,ID,2022-01-31 23:46:02
177,Wad Madani,14.4012,33.5199,63.61,21,6,11.52,clear sky,SD,2022-01-31 23:45:48
178,Capreol,46.706,-80.9225,16.27,62,20,8.05,few clouds,CA,2022-01-31 23:46:02
179,Kassala,15.451,36.4,66.87,20,2,7.85,clear sky,SD,2022-01-31 23:46:02
180,Podor,16.6527,-14.9587,84.15,21,0,4.61,clear sky,MR,2022-01-31 23:46:03
181,Udachnyy,66.4167,112.4,-36.04,100,81,3.38,broken clouds,RU,2022-01-31 23:44:41
182,Norman Wells,65.282,-126.8329,5.04,72,100,11.5,overcast clouds,CA,2022-01-31 23:47:04
183,Karasjok,69.4719,25.5112,6.91,100,82,3.69,broken clouds,NO,2022-01-31 23:47:04
184,San Ramon De La Nueva Oran,-23.1322,-64.326,79.38,73,94,4.36,overcast clouds,AR,2022-01-31 23:47:04
185,Victoria,22.2855,114.1577,58.95,92,95,1.01,overcast clouds,HK,2022-01-31 23:46:14
186,Saint-Francois,46.4154,3.9054,35.42,80,0,6.91,clear sky,FR,2022-01-31 23:47:05
187,Wanning,18.8003,110.3967,70.21,91,96,3.6,overcast clouds,CN,2022-01-31 23:47:06
188,Ketchikan,55.3422,-131.6461,39.18,87,100,0.0,overcast clouds,US,2022-01-31 23:45:29
189,Nelson Bay,-32.7167,152.15,86.29,75,10,1.01,light rain,AU,2022-01-31 23:47:07
190,Miandrivazo,-19.5167,45.4667,78.93,80,2,0.25,clear sky,MG,2022-01-31 23:47:07
191,Hambantota,6.1241,81.1185,74.91,81,21,13.0,few clouds,LK,2022-01-31 23:47:08
192,Constitucion,-35.3333,-72.4167,60.04,71,0,10.54,clear sky,CL,2022-01-31 23:47:08
193,Viedma,-40.8135,-62.9967,69.37,26,16,3.31,few clouds,AR,2022-01-31 23:47:08
194,Oranjemund,-28.55,16.4333,67.12,84,0,7.65,clear sky,NA,2022-01-31 23:47:09
195,Lavrentiya,65.5833,-171.0,-1.46,84,38,11.07,scattered clouds,RU,2022-01-31 23:47:09
196,Bethel,41.3712,-73.414,25.66,91,60,1.61,broken clouds,US,2022-01-31 23:46:26
197,Vao,-22.6667,167.4833,77.88,84,100,9.06,overcast clouds,NC,2022-01-31 23:47:10
198,Nador,35.174,-2.9287,66.45,32,0,10.36,clear sky,MA,2022-01-31 23:47:10
199,Castro,-24.7911,-50.0119,64.31,90,9,4.18,clear sky,BR,2022-01-31 23:47:11
200,Sao Joao Da Barra,-21.6403,-41.0511,77.67,88,92,6.89,overcast clouds,BR,2022-01-31 23:47:11
201,Ahmadpur,18.7,76.9333,63.81,33,6,4.68,clear sky,IN,2022-01-31 23:47:12
202,Port Blair,11.6667,92.75,68.04,94,20,0.0,mist,IN,2022-01-31 23:47:12
203,Banda Aceh,5.5577,95.3222,76.89,85,99,7.83,overcast clouds,ID,2022-01-31 23:47:12
204,Pedernales,18.0384,-71.744,75.88,76,13,0.65,few clouds,DO,2022-01-31 23:44:43
205,Chara,56.9064,118.2631,-22.56,90,78,1.07,broken clouds,RU,2022-01-31 23:47:13
206,Victor Harbor,-35.5667,138.6167,72.72,70,68,4.0,broken clouds,AU,2022-01-31 23:47:13
207,Broome,42.2506,-75.833,19.98,71,11,1.01,few clouds,US,2022-01-31 23:47:14
208,Carmen,18.6333,-91.8333,80.64,54,0,11.5,clear sky,MX,2022-01-31 23:47:14
209,Scarborough,54.2797,-0.4044,44.51,88,91,5.01,moderate rain,GB,2022-01-31 23:43:38
210,Brae,60.3964,-1.353,40.91,97,100,24.32,overcast clouds,GB,2022-01-31 23:47:15
211,Teknaf,20.8624,92.3058,58.28,64,68,6.04,broken clouds,BD,2022-01-31 23:47:15
212,Yertsevo,60.7966,40.086,15.51,95,100,6.98,overcast clouds,RU,2022-01-31 23:47:16
