City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,Colac,-38.3333,143.5833,63.16,92,60,4.79,AU,2022-01-28 17:38:54
157,Xuddur,4.1213,43.8894,79.79,22,99,7.0,SO,2022-01-28 17:38:54
158,Barrow,71.2906,-156.7887,-18.38,76,0,14.97,US,2022-01-28 17:32:34
159,Roald,62.5833,6.1333,41.14,75,75,17.27,NO,2022-01-28 17:38:55
160,Narsaq,60.9167,-46.05,12.42,66,88,10.76,GL,2022-01-28 17:38:55
161,Kalmunai,7.4167,81.8167,76.46,86,37,6.53,LK,2022-01-28 17:38:56
162,Anadyr,64.75,177.4833,-1.7,78,20,4.47,RU,2022-01-28 17:38:56
163,Nuevitas,21.5453,-77.2644,85.44,44,0,5.97,CU,2022-01-28 17:38:56
164,Constitucion,-35.3333,-72.4167,68.02,67,44,9.82,CL,2022-01-28 17:38:57
165,Parati,-23.2178,-44.7131,97.7,85,87,4.07,BR,2022-01-28 17:38:57
166,Korcula,42.9622,17.1369,46.96,51,99,9.55,HR,2022-01-28 17:38:57
167,Igrim,63.1906,64.4162,-6.18,99,61,4.16,RU,2022-01-28 17:38:58
168,Weihe,32.9952,105.3247,30.04,62,100,3.0,CN,2022-01-28 17:31:22
169,Petershagen,52.3833,8.9667,43.18,76,93,6.91,DE,2022-01-28 17:38:58
170,Los Llanos De Aridane,28.6585,-17.9182,62.35,70,20,4.61,ES,2022-01-28 17:38:59
171,Zyryanka,65.75,150.85,-14.1,97,100,7.11,RU,2022-01-28 17:38:59
172,Forchheim,49.7175,11.0588,38.86,70,100,4.99,DE,2022-01-28 17:38:59
173,Businga,3.3333,20.8833,81.03,27,37,1.19,CD,2022-01-28 17:39:00
174,Moussoro,13.6408,16.4901,70.34,13,0,15.17,TD,2022-01-28 17:39:00
175,Baoqing,46.3317,132.2111,-3.93,91,87,7.36,CN,2022-01-28 17:39:00
176,Yellowknife,62.456,-114.3525,0.55,89,100,9.22,CA,2022-01-28 17:30:30
177,Bandarbeyla,9.4942,50.8122,76.03,69,45,24.18,SO,2022-01-28 17:34:00
178,Maun,-19.9833,23.4167,71.8,86,100,6.71,BW,2022-01-28 17:39:01
179,Olafsvik,64.8945,-23.7142,27.03,79,92,22.06,IS,2022-01-28 17:40:01
180,Monmouth,40.3001,-74.1663,36.14,80,100,4.61,US,2022-01-28 17:40:02
181,Saint-Francois,46.4154,3.9054,35.04,93,100,4.61,FR,2022-01-28 17:40:03
182,Tuatapere,-46.1333,167.6833,47.82,93,95,4.27,NZ,2022-01-28 17:33:59
183,Santa Maria,-29.6842,-53.8069,79.9,54,40,13.8,BR,2022-01-28 17:39:30
184,Sitka,57.0531,-135.33,42.69,81,100,8.05,US,2022-01-28 17:40:04
185,Olenegorsk,68.15,33.3,10.11,96,100,3.47,RU,2022-01-28 17:40:04
186,Cockburn Town,21.4612,-71.1419,80.56,65,40,10.36,TC,2022-01-28 17:40:04
187,Chapada Dos Guimaraes,-15.4606,-55.7497,76.66,80,95,4.81,BR,2022-01-28 17:40:05
188,Te Anau,-45.4167,167.7167,48.76,94,89,3.36,NZ,2022-01-28 17:34:00
189,Inhambane,-23.865,35.3833,82.38,83,20,11.5,MZ,2022-01-28 17:40:05
190,Qaqortoq,60.7167,-46.0333,12.7,72,80,10.42,GL,2022-01-28 17:40:06
191,Huarmey,-10.0681,-78.1522,74.61,75,100,9.93,PE,2022-01-28 17:40:06
192,Rantepao,-2.9701,119.8978,67.42,96,100,2.77,ID,2022-01-28 17:40:06
